Feature,Importance
Kew Gardens,2.3905208530653898e-05
Co-Op City,2.3846632024059e-05
Whitestone,2.33551644468979e-05
Mariners Harbor,2.2043943520599638e-05
Sea Gate,2.1991616160881543e-05
Red Hook,2.1618286758604508e-05
Clifton,2.1237502618976617e-05
Cobble Hill,2.1072125268775497e-05
Vinegar Hill,2.0902778437072662e-05
College Point,2.081791806099912e-05
Columbia St,1.840005219780443e-05
Westerleigh,1.8341946112758866e-05
Emerson Hill,1.542410196087592e-05
Concord,1.4726917570345906e-05
West Brighton,1.4510082396378091e-05
St. George,1.3895995847267235e-05
Claremont Village,1.3726175569622051e-05
Concourse,1.2431912927443392e-05
Spuyten Duyvil,1.2403234334368622e-05
Edenwald,1.1229869563709782e-05
West Farms,1.0696704641273862e-05
Stapleton,1.0046811455170918e-05
Bay Terrace,9.883692451845284e-06
Grymes Hill,9.323109962620486e-06
Melrose,8.740904946984902e-06
Little Neck,8.636495967219978e-06
Hunts Point,7.4385748872278615e-06
Castleton Corners,7.093243458659378e-06
Belmont,7.044016506412235e-06
University Heights,6.946564441995014e-06
Briarwood,6.868586588230379e-06
Breezy Point,5.99096232911579e-06
Navy Yard,5.989857233307607e-06
Tremont,5.5315865518816035e-06
Marble Hill,5.37678819410495e-06
Graniteville,5.0506502184595885e-06
Castle Hill,5.029184664712027e-06
Belle Harbor,4.295939762079038e-06
Bull'S Head,3.819605011776948e-06
Midland Beach,3.7111339242407905e-06
Olinville,3.6946033579360006e-06
Riverdale,3.318052778855106e-06
Soundview,2.8391699425813372e-06
Woodlawn,2.4550855141099552e-06
City Island,2.2888481167919085e-06
Shore Acres,2.1951031763898724e-06
Schuylerville,2.15597029086179e-06
Howland Hook,1.8417640329931009e-06
Holliswood,1.838106403139343e-06
Lighthouse Hill,1.7621417490566254e-06
Mount Eden,1.6315203152543823e-06
Huguenot,1.585727113547317e-06
Tottenville,1.523157566026771e-06
Pelham Bay,1.4596187080493516e-06
New Dorp Beach,1.381683613384139e-06
Edgemere,1.2340130396193322e-06
Woodrow,1.1025944355177792e-06
Manhattan Beach,1.0253714739060154e-06
Great Kills,9.634707171013495e-07
Westchester Square,9.541142503139775e-07
Douglaston,9.222231218011271e-07
Grant City,9.156707979604368e-07
Todt Hill,8.849301380419807e-07
Dongan Hills,7.903715278541207e-07
Rossville,6.992365534893086e-07
South Beach,5.456258590890684e-07
Country Club,3.583788037207127e-07
New Springville,1.847148982780255e-07
"Bay Terrace, Staten Island",5.244090915247488e-08
Arden Heights,2.905233613671302e-08
Eltingville,5.204128837602563e-09
